Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade
S1041,Omar,Smith,student41@university.com,1,23,0,89.11,81.94,56.71,97.63,60.57,55.099999999999994,80.04,71.08000000000001,4
S1042,Sara,Davis,student42@university.com,1,20,2,97.79,45.27,56.32,75.36,59.19,5.2,79.16,59.101,7
S1043,Liam,Williams,student43@university.com,1,18,1,79.01,82.75,72.32,72.47,85.89,77.9,80.38,76.922,3
S1044,Maria,Smith,student44@university.com,1,22,3,84.1,98.37,49.24,62.38,77.52,13.899999999999999,60.58,63.471000000000004,6
S1045,Maria,Brown,student45@university.com,1,21,1,66.87,72.25,88.65,54.94,77.86,13.3,66.85,73.333,4
S1046,Liam,Smith,student46@university.com,1,24,1,75.43,69.91,44.14,77.41,87.63,19.8,96.58,63.009,6
S1047,Omar,Jones,student47@university.com,0,23,1,86.73,51.24,45.67,65.74,92.75,57.699999999999996,98.7,61.754,6
S1048,Emma,Smith,student48@university.com,1,18,2,96.39,78.03,60.53,76.2,61.95,28.599999999999998,65.6,66.625,6
S1049,Emma,Jones,student49@university.com,1,24,1,81.45,75.43,47.09,60.31,77.78,36.8,82.23,62.08899999999999,6
S1050,Omar,Jones,student50@university.com,0,19,1,89.49,79.12,68.54,91.91,91.45,93.2,62.06,75.447,3
S1051,Emma,Jones,student51@university.com,0,20,1,58.58,41.56,63.98,99.98,93.64,84.7,68.43,66.0125,6
S1052,John,Brown,student52@university.com,0,19,1,60.6,72.92,83.31,66.12,64.37,85.2,89.62,78.4715,3
S1053,Maria,Smith,student53@university.com,0,23,2,76.6,75.7,97.18,92.12,55.21,57.800000000000004,75.06,83.96350000000001,2
S1054,Omar,Smith,student54@university.com,1,19,0,75.43,52.45,85.21,93.65,61.64,86.6,92.48,78.9945,3
S1055,Maria,Brown,student55@university.com,0,19,0,81.75,52.5,50.77,74.8,97.27,77.9,81.44,63.35,6
S1056,Liam,Williams,student56@university.com,0,20,1,64.58,56.57,96.13,67.14,73.12,95.3,81.45,80.3475,2
S1057,Ali,Johnson,student57@university.com,1,20,1,89.58,82.7,63.53,87.8,70.93,6.4,51.69,66.831,6
S1058,John,Smith,student58@university.com,1,20,3,90.41,76.38,68.45,61.44,50.65,2.9,87.48,69.12,5
S1059,Ahmed,Johnson,student59@university.com,1,24,1,73.19,90.75,65.29,81.24,52.55,17.5,98.89,74.38550000000001,4
S1060,John,Davis,student60@university.com,0,20,0,59.04,57.74,56.83,85.24,83.43,92.89999999999999,73.65,65.61999999999999,6
S1061,Omar,Davis,student61@university.com,1,19,1,82.34,94.72,93.7,74.8,79.49,60.6,57.93,83.715,2
S1062,Ahmed,Brown,student62@university.com,0,22,3,99.64,84.62,59.93,60.36,78.78,42.6,98.85,72.81049999999999,4
S1063,Ali,Davis,student63@university.com,1,22,1,81.13,63.7,74.72,92.44,55.52,51.300000000000004,64.51,70.946,5
S1064,Omar,Davis,student64@university.com,1,20,2,51.79,45.72,54.4,71.05,67.6,83.0,70.46,58.69749999999999,7
S1065,Sara,Williams,student65@university.com,0,24,0,50.86,55.42,87.84,60.82,90.62,92.89999999999999,53.87,72.1015,4
S1066,Maria,Williams,student66@university.com,1,21,2,66.02,97.41,86.45,77.13,58.75,73.0,55.54,79.99450000000002,3
S1067,Ali,Williams,student67@university.com,1,18,1,59.79,58.62,57.78,93.17,94.13,76.0,60.83,64.7735,6
S1068,Maria,Davis,student68@university.com,1,23,2,90.65,59.79,80.89,98.35,56.07,32.0,77.42,74.698,4
S1069,Emma,Brown,student69@university.com,1,24,0,92.24,51.38,82.23,87.41,58.46,46.699999999999996,77.89,73.4625,4
S1070,Sara,Jones,student70@university.com,1,21,1,62.93,88.41,73.75,50.28,73.89,88.5,80.31,75.5225,3
S1071,Sara,Jones,student71@university.com,0,23,1,66.28,56.54,76.04,56.74,97.26,78.60000000000001,79.19,71.3835,4
S1072,Ali,Johnson,student72@university.com,0,21,2,61.81,59.82,74.47,53.81,66.48,68.39999999999999,74.76,68.1815,5
S1073,Sara,Jones,student73@university.com,1,21,1,95.42,64.86,44.91,55.06,82.91,6.5,90.1,59.1985,7
S1074,Ahmed,Jones,student74@university.com,0,22,2,75.13,66.02,80.22,69.15,79.43,4.0,96.69,74.63850000000001,4
S1075,Sara,Williams,student75@university.com,0,18,1,82.81,64.68,68.19,66.92,57.48,13.0,63.49,64.092,6
S1076,Maria,Williams,student76@university.com,0,21,2,70.77,70.22,66.31,74.8,62.41,58.099999999999994,56.51,66.0885,6
S1077,Maria,Davis,student77@university.com,1,20,1,81.55,88.87,91.6,94.11,96.51,53.6,71.25,86.0955,1
S1078,Omar,Johnson,student78@university.com,1,23,2,69.29,89.16,41.39,80.77,59.24,94.3,51.32,61.30450000000001,6
S1079,Maria,Smith,student79@university.com,1,24,1,66.98,87.9,55.08,74.8,84.75,69.5,94.17,72.279,4
S1080,Omar,Johnson,student80@university.com,0,22,1,81.72,46.07,47.28,74.8,98.23,29.4,61.99,55.372,7
S1081,Maria,Johnson,student81@university.com,0,23,1,75.43,87.98,42.12,70.51,55.98,16.1,77.46,60.4895,7
S1082,Ahmed,Brown,student82@university.com,1,20,3,75.43,47.22,56.54,65.88,69.96,85.0,55.75,58.53,7
S1083,Liam,Davis,student83@university.com,1,20,1,57.47,47.48,99.31,71.92,61.2,46.0,77.66,76.2945,3
S1084,Omar,Brown,student84@university.com,0,21,0,68.43,96.87,56.21,80.52,61.08,65.3,51.95,67.443,6
S1085,John,Johnson,student85@university.com,0,20,1,70.76,89.16,79.82,74.65,55.95,56.50000000000001,88.44,79.65150000000001,3
S1086,Emma,Johnson,student86@university.com,1,18,1,81.43,73.14,47.1,91.9,82.48,10.700000000000001,97.77,66.05399999999999,6
S1087,Ali,Johnson,student87@university.com,0,20,2,95.73,92.5,76.11,95.01,87.32,5.699999999999999,65.35,77.685,3
S1088,Maria,Jones,student88@university.com,0,21,2,75.43,99.36,99.07,73.48,83.84,37.7,62.91,86.133,1
S1089,Sara,Brown,student89@university.com,0,23,3,75.43,76.64,57.51,61.99,96.23,36.199999999999996,72.4,65.784,6
S1090,Liam,Johnson,student90@university.com,0,20,3,59.69,76.77,90.88,97.26,57.28,67.4,81.0,82.8005,2
S1091,Maria,Williams,student91@university.com,0,22,0,75.11,85.27,99.85,86.75,65.99,63.2,59.45,84.8015,2
S1092,Sara,Davis,student92@university.com,0,24,2,71.49,53.93,75.31,82.01,67.23,96.89999999999999,90.17,74.41749999999999,4
S1093,Emma,Davis,student93@university.com,0,22,2,86.45,50.03,58.56,87.27,61.6,85.8,59.93,62.83899999999999,6
S1094,Emma,Williams,student94@university.com,1,22,1,75.43,85.57,80.41,74.8,57.11,49.7,50.27,73.41049999999998,4
S1095,Emma,Davis,student95@university.com,1,23,3,79.72,60.69,90.69,53.38,74.34,50.0,76.21,75.38649999999998,3
S1096,Sara,Jones,student96@university.com,0,19,2,94.19,48.1,50.28,57.66,91.72,67.4,55.76,56.527499999999996,7
S1097,Maria,Jones,student97@university.com,0,24,2,95.53,58.89,67.15,57.37,97.73,11.399999999999999,84.91,67.3445,6
S1098,Emma,Smith,student98@university.com,0,22,1,97.94,61.52,59.15,71.03,56.47,100.0,58.37,64.543,6
S1099,Ahmed,Smith,student99@university.com,1,22,1,88.66,97.91,57.0,57.87,91.16,51.9,90.87,73.3855,4
S1100,Omar,Smith,student100@university.com,1,19,3,95.3,81.88,91.65,92.73,91.23,90.99999999999999,73.52,87.21349999999998,1
S1101,Sara,Davis,student101@university.com,0,23,1,61.73,71.85,65.3,78.9,69.45,96.7,78.31,71.5205,4
S1102,Sara,Jones,student102@university.com,1,24,2,59.88,98.13,60.34,68.41,55.5,58.20000000000001,59.33,68.1815,5
S1103,Maria,Jones,student103@university.com,0,22,1,50.32,94.19,76.21,53.48,99.5,10.3,57.33,71.2755,4
S1104,Sara,Jones,student104@university.com,0,21,0,85.34,70.72,53.16,79.55,82.78,57.300000000000004,81.56,66.868,6
S1105,Sara,Williams,student105@university.com,0,23,1,96.87,94.34,53.79,55.83,99.11,59.80000000000001,62.77,68.1715,5
S1106,Emma,Jones,student106@university.com,0,24,0,59.35,64.26,71.22,87.16,74.18,78.89999999999999,69.3,71.0725,4
S1107,Maria,Williams,student107@university.com,0,22,1,81.85,53.83,64.56,90.14,69.76,4.8,73.97,64.52000000000001,6
S1108,Emma,Smith,student108@university.com,0,22,0,87.32,53.96,57.7,77.2,62.36,46.6,61.48,60.62800000000001,7
S1109,Omar,Smith,student109@university.com,0,19,0,96.38,79.74,43.24,57.48,99.18,92.30000000000001,89.77,66.85050000000001,6
S1110,Liam,Davis,student110@university.com,1,24,1,82.34,70.06,71.25,89.34,62.66,99.1,96.97,78.1965,3
S1111,Omar,Smith,student111@university.com,0,21,2,98.51,79.54,89.0,65.39,51.19,19.1,71.59,77.22550000000001,3
S1112,Liam,Davis,student112@university.com,1,23,1,67.23,81.16,91.08,61.13,75.62,87.10000000000001,95.88,84.65650000000001,2
S1113,Emma,Johnson,student113@university.com,0,20,1,67.5,41.34,54.13,73.53,68.85,14.6,94.13,58.94,7
S1114,Omar,Johnson,student114@university.com,0,18,0,77.15,43.24,75.98,96.13,63.07,84.1,58.3,68.614,5
S1115,Maria,Brown,student115@university.com,1,21,2,69.18,71.96,91.35,64.87,81.73,27.700000000000003,58.67,75.15,3
S1116,Ali,Davis,student116@university.com,1,20,1,50.07,51.46,64.52,95.28,68.21,96.0,73.87,67.4225,6
S1117,Emma,Brown,student117@university.com,0,21,1,75.43,77.95,95.93,52.68,70.11,69.5,76.29,81.4255,2
S1118,Liam,Brown,student118@university.com,1,24,1,87.59,73.13,94.18,54.18,51.15,39.900000000000006,67.06,76.707,3
S1119,Ahmed,Johnson,student119@university.com,0,20,0,87.35,75.15,52.49,84.93,79.45,28.1,65.65,64.1115,6
S1120,Liam,Davis,student120@university.com,0,24,1,67.25,58.15,55.54,59.53,56.1,23.5,71.57,57.876999999999995,7
S1121,Ahmed,Johnson,student121@university.com,1,20,3,76.11,78.39,50.83,65.83,60.69,68.1,84.52,65.516,6
S1122,Sara,Brown,student122@university.com,1,21,3,68.0,89.77,51.76,56.82,85.86,89.60000000000001,54.22,64.64599999999999,6
S1123,Omar,Davis,student123@university.com,1,19,1,50.8,99.88,94.47,66.61,65.66,75.5,85.53,86.8525,1
S1124,Ahmed,Brown,student124@university.com,1,21,1,78.12,90.31,95.87,64.02,58.16,83.5,96.31,88.2475,1
S1125,Liam,Jones,student125@university.com,0,24,0,56.19,73.45,43.11,86.82,78.87,78.1,88.18,64.501,6
S1126,Sara,Davis,student126@university.com,1,21,1,54.0,51.61,75.62,85.1,60.75,97.89999999999999,59.58,68.6495,5
S1127,Ali,Davis,student127@university.com,1,20,1,87.77,80.89,73.85,97.75,63.55,75.8,54.37,75.00450000000001,3
S1128,Maria,Brown,student128@university.com,1,18,1,50.48,96.26,63.43,86.22,81.07,21.000000000000004,74.52,72.05149999999999,4
S1129,Maria,Jones,student129@university.com,1,20,2,97.95,52.71,77.9,84.74,86.99,79.2,97.82,78.056,3
S1130,Maria,Williams,student130@university.com,1,22,0,75.76,55.36,96.84,84.71,86.98,32.2,90.95,81.6685,2
S1131,Ahmed,Johnson,student131@university.com,0,21,1,99.15,48.94,50.22,94.15,74.11,99.60000000000001,78.14,64.655,6
S1132,Ali,Brown,student132@university.com,0,23,1,52.9,84.2,47.22,64.81,72.71,37.7,57.15,58.94700000000001,7
S1133,Ahmed,Davis,student133@university.com,1,21,3,79.18,64.39,42.0,74.8,89.38,29.300000000000004,85.69,59.9045,7
S1134,Omar,Johnson,student134@university.com,1,19,0,67.47,43.76,61.83,87.06,59.65,23.900000000000002,90.65,63.3385,6
S1135,Ahmed,Johnson,student135@university.com,0,24,2,92.17,92.5,60.26,61.44,57.61,65.9,96.75,74.0445,4
S1136,Ali,Johnson,student136@university.com,1,23,0,75.43,73.46,65.85,95.6,83.23,10.900000000000002,80.61,71.1615,4
S1137,Ali,Williams,student137@university.com,0,20,2,63.02,59.87,70.2,76.74,70.48,95.39999999999999,75.72,70.531,5
S1138,Omar,Smith,student138@university.com,0,19,0,92.88,60.64,85.47,74.8,85.5,29.4,80.96,76.32900000000001,3
S1139,Ali,Brown,student139@university.com,1,21,1,68.73,57.42,63.53,88.8,62.83,29.500000000000004,97.16,68.403,5
S1140,Liam,Smith,student140@university.com,0,20,1,50.84,67.33,59.84,65.62,66.24,4.6,81.41,62.2595,6
S1141,Ali,Smith,student141@university.com,1,20,0,69.51,60.22,89.61,98.16,94.83,24.6,62.88,76.583,3
S1142,Maria,Smith,student142@university.com,1,22,2,82.73,72.88,90.99,74.8,71.08,41.900000000000006,81.81,80.509,2
S1143,Liam,Johnson,student143@university.com,0,22,3,62.72,86.41,53.97,83.34,79.55,37.0,93.99,70.266,5
S1144,Liam,Jones,student144@university.com,0,18,1,71.6,80.47,58.88,55.68,55.33,27.3,78.35,64.678,6
S1145,Omar,Johnson,student145@university.com,1,22,3,52.84,57.67,89.51,63.16,58.94,4.1,75.13,70.7175,5
S1146,John,Johnson,student146@university.com,0,24,3,79.4,71.72,44.76,75.77,51.79,30.099999999999998,86.67,60.89000000000001,7
S1147,John,Davis,student147@university.com,1,23,1,87.81,90.41,59.55,92.57,71.22,77.8,83.05,75.458,3
S1148,Ali,Davis,student148@university.com,0,20,0,70.67,44.09,66.9,59.24,99.45,43.89999999999999,52.83,60.12750000000001,7
S1149,Liam,Smith,student149@university.com,0,22,2,71.01,44.7,51.22,55.22,93.69,29.100000000000005,86.27,57.5805,7
S1150,John,Johnson,student150@university.com,1,18,3,54.41,73.37,50.79,53.72,81.65,30.5,70.38,59.24700000000001,7
S1151,John,Smith,student151@university.com,1,21,2,60.1,78.35,65.49,75.35,93.05,55.400000000000006,97.04,74.3845,4
S1152,Ali,Davis,student152@university.com,1,23,0,57.73,52.68,85.27,94.24,79.71,30.2,98.54,77.23100000000001,3
S1153,John,Jones,student153@university.com,0,22,2,74.08,84.71,90.41,52.12,68.44,63.1,72.44,79.465,3
S1154,Ahmed,Brown,student154@university.com,1,20,1,76.46,78.78,98.75,60.62,58.68,98.9,98.44,87.78599999999997,1
S1155,Sara,Smith,student155@university.com,1,21,1,75.43,95.4,44.44,84.66,82.65,4.1,65.54,63.26200000000001,6
S1156,Omar,Jones,student156@university.com,0,24,2,53.66,50.14,53.0,91.29,59.65,16.9,84.13,59.486999999999995,7
S1157,Sara,Brown,student157@university.com,0,20,0,79.99,85.08,85.4,90.37,70.87,17.9,53.75,76.7135,3
S1158,Ali,Williams,student158@university.com,1,21,2,76.32,45.02,72.44,89.25,91.29,44.699999999999996,57.25,66.108,6
S1159,Maria,Smith,student159@university.com,1,24,2,75.81,73.92,59.66,56.49,56.46,4.1,93.23,65.10000000000001,6
S1160,Omar,Smith,student160@university.com,1,24,1,93.66,73.11,52.34,69.86,56.45,47.800000000000004,94.69,66.643,6
S1161,Ali,Williams,student161@university.com,1,23,2,60.28,63.3,56.83,99.24,61.22,92.89999999999999,76.63,67.5305,6
S1162,Liam,Williams,student162@university.com,0,20,1,52.04,90.67,65.76,99.44,77.6,1.2,66.99,70.9725,5
S1163,Maria,Smith,student163@university.com,0,22,0,83.61,40.26,50.63,74.8,62.59,36.5,72.55,55.801500000000004,7
S1164,Sara,Williams,student164@university.com,1,22,3,75.43,71.21,97.85,85.46,75.16,76.1,93.48,87.28450000000002,1
S1165,Ali,Johnson,student165@university.com,1,18,2,50.88,53.03,46.46,97.56,65.1,15.4,60.55,54.5975,8
S1166,Liam,Brown,student166@university.com,1,21,1,62.57,84.61,99.13,72.5,75.31,7.8,64.74,80.819,2
S1167,Omar,Brown,student167@university.com,0,18,1,65.47,42.58,90.51,56.84,63.88,63.1,89.27,73.417,4
S1168,Omar,Brown,student168@university.com,1,19,2,80.84,89.89,65.39,83.45,99.0,1.0,96.76,76.035,3
S1169,Emma,Johnson,student169@university.com,1,22,2,58.63,90.29,84.39,98.01,74.64,80.19999999999999,54.65,80.48600000000002,2
S1170,Liam,Williams,student170@university.com,0,21,0,70.65,89.97,80.29,84.86,87.18,6.7,90.19,80.35099999999998,2
S1171,Ahmed,Jones,student171@university.com,0,23,1,74.12,49.15,52.8,90.17,85.03,52.400000000000006,82.25,62.882000000000005,6
S1172,John,Williams,student172@university.com,1,18,0,72.96,77.82,60.34,74.8,74.53,74.0,61.54,67.4855,6
S1173,Maria,Smith,student173@university.com,1,23,2,98.7,40.86,70.79,54.82,61.94,24.2,87.79,64.38050000000001,6
S1174,Liam,Davis,student174@university.com,0,23,1,75.43,90.88,78.27,58.44,75.54,10.4,86.4,76.35650000000001,3
S1175,Emma,Brown,student175@university.com,1,23,2,97.55,83.38,72.57,99.13,84.05,17.599999999999998,57.1,74.14199999999998,4
S1176,John,Williams,student176@university.com,1,18,1,79.1,71.87,68.38,74.66,73.0,85.50000000000001,75.11,72.3385,4
S1177,John,Jones,student177@university.com,0,19,2,89.79,83.84,66.59,50.6,54.1,70.6,87.91,72.375,4
S1178,Ali,Smith,student178@university.com,0,24,0,71.52,45.66,69.9,97.77,50.9,19.8,59.58,62.917,6
S1179,John,Johnson,student179@university.com,0,24,2,72.69,71.72,66.06,74.89,66.39,71.6,73.14,69.762,5
S1180,Ahmed,Johnson,student180@university.com,1,18,0,93.97,57.48,72.48,91.81,57.51,70.89999999999999,56.04,69.194,5
S1181,Omar,Jones,student181@university.com,0,24,2,94.8,98.36,93.28,77.42,95.31,99.8,65.34,89.0225,1
S1182,Emma,Smith,student182@university.com,0,20,1,61.93,91.43,77.97,55.09,58.79,39.2,60.9,72.114,4
S1183,John,Brown,student183@university.com,1,24,2,59.96,84.0,83.36,80.78,69.71,86.5,75.25,80.318,2
S1184,Ali,Williams,student184@university.com,1,22,2,74.81,96.02,75.85,74.8,85.6,44.6,57.06,75.8335,3
S1185,Ahmed,Smith,student185@university.com,0,18,1,95.01,60.81,78.58,51.74,90.77,89.8,69.16,72.921,4
S1186,Sara,Johnson,student186@university.com,0,24,1,66.12,94.05,74.7,92.09,73.89,9.2,63.76,74.92349999999999,4
S1187,Omar,Jones,student187@university.com,1,18,2,82.6,59.51,41.61,61.77,59.06,17.5,87.3,55.776,7
S1188,Omar,Jones,student188@university.com,1,19,1,85.41,83.97,99.98,69.69,63.54,85.0,84.98,88.1995,1
S1189,Emma,Williams,student189@university.com,0,20,1,88.93,84.19,42.02,68.64,70.95,81.89999999999999,54.75,60.8115,7
S1190,Omar,Jones,student190@university.com,0,18,2,78.2,41.1,63.71,74.8,68.23,30.5,97.67,64.681,6
S1191,John,Jones,student191@university.com,1,22,1,70.12,61.66,46.31,75.22,67.43,59.699999999999996,87.23,61.325,6
S1192,Ali,Smith,student192@university.com,0,24,3,98.35,41.17,45.82,72.36,56.59,38.3,80.8,55.57999999999999,7
S1193,Omar,Brown,student193@university.com,1,22,1,80.57,99.83,87.61,74.8,95.67,1.0,73.89,82.43549999999999,2
S1194,Omar,Williams,student194@university.com,0,24,0,86.43,47.33,65.56,52.45,51.49,2.6,58.9,56.79600000000001,7
S1195,Sara,Smith,student195@university.com,1,18,2,67.25,72.57,88.07,54.32,72.0,5.4,98.1,77.1215,3
S1196,Sara,Brown,student196@university.com,1,23,0,83.5,87.43,56.37,51.08,99.02,59.400000000000006,50.39,64.7965,6
S1197,Maria,Smith,student197@university.com,0,24,1,62.89,52.08,55.39,84.4,82.99,27.900000000000002,84.62,62.394000000000005,6
S1198,Ahmed,Davis,student198@university.com,0,23,3,62.25,69.1,55.07,76.28,67.77,14.399999999999999,75.37,62.0025,6
S1199,John,Smith,student199@university.com,1,20,2,85.74,76.45,76.97,93.8,57.3,94.10000000000001,95.13,81.58449999999999,2
S1200,Omar,Jones,student200@university.com,0,22,0,76.07,49.61,88.9,74.93,98.19,12.1,69.03,72.6475,4
S1201,Liam,Brown,student201@university.com,0,23,1,84.16,86.71,67.14,61.09,50.7,67.4,75.93,71.8095,4
S1202,Omar,Williams,student202@university.com,0,22,1,63.47,57.96,62.75,90.26,84.07,89.39999999999999,87.12,70.633,5
S1203,Ali,Williams,student203@university.com,1,24,2,79.94,52.66,98.41,64.72,94.01,16.4,52.38,73.74249999999999,4
S1204,Maria,Brown,student204@university.com,0,24,1,72.2,73.5,47.01,96.78,51.26,21.5,52.72,58.338,7
S1205,Ahmed,Jones,student205@university.com,0,20,2,79.85,64.62,69.2,62.52,86.26,57.400000000000006,60.58,67.1185,6
S1206,Liam,Johnson,student206@university.com,1,24,1,64.54,95.22,64.51,58.39,99.94,50.8,57.32,70.049,5
S1207,Maria,Smith,student207@university.com,0,20,2,85.77,92.8,45.89,74.67,81.98,52.1,50.32,62.9235,6
S1208,Emma,Jones,student208@university.com,0,23,3,90.3,69.0,56.09,52.53,70.73,55.49999999999999,81.15,64.48800000000001,6
S1209,Ahmed,Davis,student209@university.com,1,24,2,63.0,61.56,41.71,51.82,93.72,95.0,89.8,60.234,7
S1210,Omar,Brown,student210@university.com,1,18,0,65.03,59.53,92.62,74.8,77.71,5.4,97.86,78.52000000000001,3
S1211,Omar,Smith,student211@university.com,0,21,2,83.06,56.05,76.47,60.76,87.47,76.0,72.05,71.008,4
S1212,Ahmed,Williams,student212@university.com,0,19,2,75.43,72.67,88.9,50.47,79.39,23.3,63.99,73.64550000000001,4
S1213,Omar,Johnson,student213@university.com,1,21,3,85.2,88.3,71.29,64.8,51.91,37.4,93.2,75.3615,3
S1214,John,Davis,student214@university.com,1,21,0,84.13,58.65,75.97,73.87,60.66,8.9,92.22,71.0225,4
S1215,Ahmed,Williams,student215@university.com,0,22,0,69.64,51.41,82.05,69.71,53.94,44.6,81.24,70.66799999999999,5
S1216,Maria,Brown,student216@university.com,0,20,1,69.74,68.53,94.48,56.77,55.33,80.39999999999999,63.66,76.9975,3
S1217,Ahmed,Smith,student217@university.com,0,22,2,62.74,44.14,45.51,78.98,50.77,9.9,95.43,55.415,7
S1218,Liam,Brown,student218@university.com,1,23,1,57.84,82.08,59.86,74.8,71.06,27.599999999999998,58.92,64.50300000000001,6
S1219,Omar,Smith,student219@university.com,0,19,2,75.43,71.1,82.54,83.78,58.93,37.3,52.18,72.024,4
S1220,John,Jones,student220@university.com,1,23,2,54.66,69.78,97.5,69.69,92.78,10.4,89.83,81.29149999999998,2
